gene,control_1_poly,control_2_poly,control_3_poly,control_4_poly,treatment_1_poly,treatment_2_poly,treatment_3_poly,treatment_4_poly
simGenes_4606,5314,5889,5288,6919,6192,6140,6032,5999
simGenes_4607,751,687,720,687,621,658,600,615
simGenes_4608,2723,3219,2468,2518,3538,3747,3932,2550
simGenes_4609,610,470,485,583,559,557,599,369
simGenes_4610,460,700,529,476,525,552,702,551
simGenes_4611,65,56,83,95,62,75,72,73
simGenes_4612,2340,1669,2168,1796,1880,2013,2192,1803
simGenes_4613,404,487,492,522,592,428,452,588
simGenes_4614,1521,1487,1667,1429,3879,4654,5094,3787
simGenes_4615,218,311,155,225,208,183,294,240
simGenes_4616,1489,1376,1521,1509,3076,3807,4334,3480
simGenes_4617,1810,1737,1960,1980,1837,1827,1719,1781
simGenes_4618,227,340,224,217,195,214,231,280
simGenes_4619,16313,15401,13768,21552,14782,14228,14562,14397
simGenes_4620,197,164,254,344,226,209,232,227
simGenes_4621,1561,1790,1776,1588,1836,1610,1973,1667
simGenes_4622,2896,2834,3149,2232,3064,2847,2293,2133
simGenes_4623,540,759,537,613,707,624,558,483
simGenes_4624,2875,1595,2237,1422,1837,1994,2155,1397
simGenes_4625,199,215,228,246,127,282,181,300
simGenes_4626,2097,2232,2469,1968,2122,2493,1864,2911
simGenes_4627,247,267,204,208,158,81,192,128
simGenes_4628,819,789,841,720,444,644,628,589
simGenes_4629,2809,2577,1955,1926,1961,1423,2015,1645
simGenes_4630,263,329,347,173,761,358,922,1132
simGenes_4631,1578,1679,2247,1367,846,880,1050,848
simGenes_4632,14348,14319,14412,14826,34261,31981,34548,32997
simGenes_4633,1185,5204,1186,1090,3642,2916,1938,4552
simGenes_4634,886,837,879,841,921,947,1055,899
simGenes_4635,2789,3014,3162,3034,2844,3066,2608,2215
simGenes_4636,2977,3855,3565,3891,2826,3750,4080,3796
simGenes_4637,4267,4073,4484,4229,5131,3710,4413,4353
simGenes_4638,462,281,397,362,485,392,349,362
simGenes_4639,87,106,234,119,158,216,290,81
simGenes_4640,850,1025,719,1383,1395,1186,785,810
simGenes_4641,1092,1097,1152,1099,1128,965,1091,980
simGenes_4642,12744,12682,10744,10195,13449,9237,12759,10679
simGenes_4643,36216,35811,33383,36601,33097,34469,32981,38966
simGenes_4644,17211,24935,21022,14551,15134,25817,20627,21185
simGenes_4645,20768,17236,19882,16235,18261,18410,18253,18974
simGenes_4646,850,582,811,942,917,839,959,722
simGenes_4647,1967,1784,1739,1596,1722,1522,1520,1834
simGenes_4648,8819,7201,9627,6622,6443,6817,7107,9402
simGenes_4649,4413,3621,4279,3916,4119,3954,4200,4152
simGenes_4650,1953,2334,2259,1794,2489,2197,2157,2085
simGenes_4651,1837,2132,2080,2120,1938,2088,2093,2049
simGenes_4652,4032,3589,3747,3889,3997,3987,3960,3820
simGenes_4653,934,871,768,771,737,788,743,888
simGenes_4654,520,263,255,440,715,876,749,588
simGenes_4655,1735,1782,1875,1788,1738,2297,1612,1841
simGenes_4656,4072,3588,3691,3770,4020,3341,4854,3606
simGenes_4657,9738,8284,8077,9634,7264,7787,7973,7593
simGenes_4658,299,296,281,521,279,171,306,214
simGenes_4659,450,294,355,472,371,358,400,395
simGenes_4660,1438,1393,1233,1331,1352,1169,1241,1304
simGenes_4661,6688,6056,7077,6068,7127,6639,6829,6986
simGenes_4662,895,887,762,810,819,815,872,1060
simGenes_4663,1473,1455,1417,1587,1101,1535,1499,1704
simGenes_4664,641,673,501,665,477,567,525,714
simGenes_4665,1894,2911,2647,2324,1738,2093,2309,2153
simGenes_4666,449,275,342,288,421,457,308,350
simGenes_4667,468,468,550,446,426,489,279,381
simGenes_4668,289,277,324,330,444,344,411,393
simGenes_4669,1899,2193,2333,2918,2077,2080,2054,2025
simGenes_4670,116,90,120,93,119,107,128,108
simGenes_4671,4401,4444,4073,5056,4518,4449,4422,4631
simGenes_4672,1503,1915,1287,2082,1021,903,1899,1879
simGenes_4673,799,676,889,791,2038,2295,1853,1697
simGenes_4674,1871,2603,2117,2379,2567,2316,2641,1928
simGenes_4675,494,534,495,553,576,532,446,552
simGenes_4676,168,212,285,269,242,299,218,194
simGenes_4677,4404,4819,3833,3953,3674,4669,4364,3740
simGenes_4678,2633,2249,2491,2159,2396,2510,2750,2556
simGenes_4679,1415,1434,1128,1174,1294,893,1158,1581
simGenes_4680,603,843,907,702,700,579,933,1181
simGenes_4681,659,1032,965,831,586,923,459,974
simGenes_4682,976,1163,798,960,1195,813,1192,1270
simGenes_4683,4980,4905,4077,3493,4277,4474,4413,3404
simGenes_4684,2052,1584,1491,1655,1672,1376,2106,1826
simGenes_4685,919,874,971,759,902,775,937,917
simGenes_4686,2449,3292,2551,2598,2882,2867,3029,2701
simGenes_4687,184,204,185,117,197,115,463,117
simGenes_4688,978,598,613,658,977,537,1188,770
simGenes_4689,2781,3927,2535,3063,4819,3558,3064,2616
simGenes_4690,630,862,1532,1083,856,932,1058,1090
simGenes_4691,295,342,428,316,286,272,357,437
simGenes_4692,115,131,52,87,99,53,130,77
simGenes_4693,751,742,881,617,591,700,870,1032
simGenes_4694,87,82,56,133,145,142,86,57
simGenes_4695,473,652,764,836,707,679,757,750
simGenes_4696,682,1014,1375,1278,1056,865,1024,816
simGenes_4697,4140,5428,4459,4591,4404,4960,4391,5163
simGenes_4698,6139,5476,6031,7404,8852,11119,8836,8286
simGenes_4699,3594,3818,4133,2920,3766,3911,3721,4229
simGenes_4700,7703,4313,1970,3829,7137,3776,2739,3783
simGenes_4701,1072,1055,1192,1110,1198,1052,1072,910
simGenes_4702,714,906,1011,797,1062,844,848,881
simGenes_4703,206,197,211,191,153,273,166,96
simGenes_4704,143,131,168,183,182,120,164,131
simGenes_4705,12129,15561,15565,22255,18046,9919,20122,15129
simGenes_4706,748,656,487,727,634,725,489,585
simGenes_4707,1203,1494,1551,1486,3000,2733,2838,2511
simGenes_4708,680,773,819,800,891,803,969,777
simGenes_4709,1257,1025,1019,1002,1170,1119,951,1206
simGenes_4710,2535,2499,2398,2840,2884,2756,2602,2650
simGenes_4711,593,774,307,403,560,445,409,583
simGenes_4712,1459,1167,1416,1123,1264,1410,1078,1192
simGenes_4713,1001,1318,1525,699,762,529,812,1176
simGenes_4714,911,1314,1146,992,941,992,1279,1272
simGenes_4715,4449,4643,4496,4814,4444,4671,4215,4923
simGenes_4716,295,407,413,255,267,320,469,281
simGenes_4717,1857,1557,894,796,1540,907,1164,1508
simGenes_4718,95,184,137,96,246,194,240,313
simGenes_4719,107,157,169,128,84,134,153,131
simGenes_4720,2091,2029,2022,1994,1080,1151,993,794
simGenes_4721,199,365,368,312,561,243,559,549
simGenes_4722,1751,1869,2019,1613,1589,1677,1868,2030
simGenes_4723,211,123,121,151,121,89,153,121
simGenes_4724,458,513,538,589,518,419,877,635
simGenes_4725,3451,3829,4495,3555,4122,3397,2887,3054
simGenes_4726,1699,1564,1603,1417,1708,1693,1811,1290
simGenes_4727,3694,3002,2907,3232,2734,2569,2737,2804
simGenes_4728,2825,2639,2533,2582,2505,2687,2521,2500
simGenes_4729,806,607,610,489,567,377,387,789
simGenes_4730,743,636,896,411,491,710,817,605
simGenes_4731,236,397,277,236,281,321,357,390
simGenes_4732,660,875,493,528,916,904,697,862
simGenes_4733,9090,9358,10671,11566,10164,10430,8598,10649
simGenes_4734,3596,4013,3955,3930,3873,3303,3683,3961
simGenes_4735,403,490,397,297,352,242,298,396
simGenes_4736,1080,1267,1267,989,965,1481,1287,1362
simGenes_4737,883,644,987,640,442,772,581,723
simGenes_4738,1159,927,1214,872,938,1302,1189,784
simGenes_4739,1211,1065,1239,1027,1128,1076,1369,1198
simGenes_4740,645,847,732,776,609,677,612,679
simGenes_4741,9021,12753,12275,11766,10792,9448,11368,10912
simGenes_4742,97,173,125,175,234,248,229,131
simGenes_4743,2063,1552,1602,1747,4266,4301,3931,4205
simGenes_4744,518,568,536,562,521,597,692,453
simGenes_4745,21639,19555,19597,19073,32268,45320,53043,42823
simGenes_4746,1050,1123,972,1042,1068,1027,1069,1008
simGenes_4747,7992,8863,8779,11167,9686,8537,8828,10083
simGenes_4748,336,372,389,280,368,287,477,370
simGenes_4749,1816,1435,1511,1418,1506,1791,2903,1034
simGenes_4750,227,340,323,249,382,351,255,270
simGenes_4751,6411,7240,7556,7325,6581,6657,7061,7676
simGenes_4752,3001,3081,3522,3730,3646,3596,3259,4013
simGenes_4753,6553,5787,5961,5116,5952,7097,5913,5046
simGenes_4754,1606,1687,1465,1860,1459,1664,1704,1748
simGenes_4755,544,587,546,447,848,584,311,519
simGenes_4756,355,388,410,227,491,433,394,290
simGenes_4757,1016,984,990,513,723,983,1066,1002
simGenes_4758,8432,8640,6692,8361,8810,7232,8459,6772
simGenes_4759,4904,4937,5217,5329,4813,4967,5177,5510
simGenes_4760,62,79,82,108,13,33,41,48
simGenes_4761,734,797,384,960,650,804,750,951
simGenes_4762,344,352,238,305,269,176,145,152
simGenes_4763,145,183,141,248,174,177,302,181
simGenes_4764,1569,2269,2148,2371,2520,2211,2758,2306
simGenes_4765,459,411,591,872,506,417,429,459
simGenes_4766,776,938,851,791,605,433,713,423
simGenes_4767,238,282,274,192,208,131,259,185
simGenes_4768,1363,1923,1863,1211,1967,2066,2019,2309
simGenes_4769,1136,1465,1271,1613,1145,1366,2183,1275
simGenes_4770,62,201,227,221,284,146,161,120
simGenes_4771,268,264,278,348,287,372,301,204
simGenes_4772,3617,3042,2797,2825,2501,2993,2977,2742
simGenes_4773,2582,2995,3069,3119,3142,3143,3493,3236
simGenes_4774,1169,1256,1222,1487,2930,2698,2319,2616
simGenes_4775,62,140,112,94,172,139,172,101
simGenes_4776,6428,6176,6107,6478,6181,6341,6352,6354
simGenes_4777,1552,2818,1773,2417,1585,1582,2139,2414
simGenes_4778,462,558,414,594,570,569,535,498
simGenes_4779,1995,2066,3099,2529,3513,3084,1895,2709
simGenes_4780,530,761,475,607,1241,1212,514,792
simGenes_4781,6651,5676,7424,8808,8817,7218,12236,8277
simGenes_4782,52,55,66,46,86,184,88,155
simGenes_4783,1272,982,1041,1292,1065,1316,1096,1054
simGenes_4784,1921,1660,1733,1626,1855,1938,1734,1703
simGenes_4785,3951,4233,4176,3859,3194,3452,3450,3451
simGenes_4786,62,32,87,85,119,69,116,124
simGenes_4787,7688,10243,7962,10524,7922,8172,8851,8484
simGenes_4788,2811,2989,3043,2466,1592,1159,1376,1678
simGenes_4789,2011,1975,1800,1682,4801,5479,4843,6769
simGenes_4790,1252,1205,1442,1077,1465,1457,1411,1617
simGenes_4791,982,895,1006,1164,1123,1160,1000,1131
simGenes_4792,1858,1857,1764,1606,1896,1884,1850,1944
simGenes_4793,1278,1401,920,1101,1105,1011,1278,1128
simGenes_4794,597,339,510,577,695,580,626,762
simGenes_4795,3683,3678,3810,3747,3848,3959,3603,4319
simGenes_4796,734,1190,956,1228,822,1279,1239,929
simGenes_4797,2443,2035,2621,2112,2269,2291,3106,2404
simGenes_4798,2521,3102,3740,3977,1334,1781,1562,1687
simGenes_4799,1977,1832,1865,1911,1728,1802,1783,1731
simGenes_4800,493,1076,664,763,1105,740,587,530
simGenes_4801,182,437,278,331,405,428,405,632
simGenes_4802,5216,5454,5094,4924,5129,5016,5113,4760
simGenes_4803,344,348,290,358,326,319,261,440
simGenes_4804,300,300,339,343,445,369,321,361
simGenes_4805,14549,14029,11290,15287,12610,15441,13374,14522
simGenes_4806,875,2180,1124,968,809,1487,983,841
simGenes_4807,1035,868,1409,540,995,986,1222,1043
simGenes_4808,1405,1764,1554,1091,1235,1295,1570,1053
simGenes_4809,2303,2187,2446,2799,2676,2747,2963,2522
simGenes_4810,4053,6238,3662,7405,4251,3015,4475,4454
simGenes_4811,56,184,202,131,51,51,54,35
simGenes_4812,8987,11313,8849,8756,10364,9945,9880,7186
simGenes_4813,515,436,585,532,520,541,509,595
simGenes_4814,2169,2067,2275,1944,1948,1614,2522,2396
simGenes_4815,5050,3344,4979,4759,1857,1778,2578,1850
simGenes_4816,195,193,256,189,223,302,262,284
simGenes_4817,1398,1218,1119,1024,999,1300,1319,1276
simGenes_4818,586,401,604,345,894,979,964,863
simGenes_4819,319,337,511,512,497,333,378,327
simGenes_4820,21472,24335,27346,51973,44741,25724,21597,44029
simGenes_4821,1154,1125,926,803,235,259,268,381
simGenes_4822,758,603,859,406,752,848,982,613
simGenes_4823,313,483,373,255,266,307,296,133
simGenes_4824,810,1009,930,1098,769,1186,972,1279
simGenes_4825,1181,513,501,636,410,555,917,1091
simGenes_4826,411,328,346,345,361,376,342,310
simGenes_4827,730,1267,704,815,584,662,980,1135
simGenes_4828,362,301,458,361,485,599,475,424
simGenes_4829,12396,8995,7786,6077,5979,5252,7432,7056
simGenes_4830,1276,1548,1449,1029,1536,1441,1231,1438
simGenes_4831,2329,1696,1594,1428,2728,1954,2068,1182
simGenes_4832,1146,1077,730,769,2838,2858,2133,2777
simGenes_4833,5880,4117,4922,5325,3205,2800,4221,3948
simGenes_4834,4533,3967,2665,3473,2827,3132,3725,4171
simGenes_4835,2951,3115,3037,3696,3080,3462,3485,2778
simGenes_4836,1623,1733,1888,1885,1780,1661,1838,1627
simGenes_4837,8491,8942,7655,6834,8652,7671,7039,9076
simGenes_4838,106,89,164,139,138,115,147,95
simGenes_4839,718,1070,1088,862,1059,803,941,975
simGenes_4840,13660,14300,13597,13918,15323,13066,14345,13456
simGenes_4841,1081,893,1036,1112,1051,1106,888,999
simGenes_4842,4747,5007,6051,6576,6359,4836,6934,6359
simGenes_4843,33946,35768,37212,36511,36557,35353,34539,34054
simGenes_4844,1718,1296,1907,1481,1640,1520,1330,1608
simGenes_4845,2630,3099,4401,3263,3764,3511,3143,3705
simGenes_4846,10283,11591,11387,9999,10516,12983,10926,12494
simGenes_4847,1535,1341,1359,1550,1490,1796,1635,1522
simGenes_4848,997,1214,1103,1362,1270,1375,919,1288
simGenes_4849,19753,19151,19487,18907,7263,6935,7028,7569
simGenes_4850,1226,1291,1447,1511,2985,3570,3336,4114
simGenes_4851,5621,5266,5577,5693,11719,12871,11585,12553
simGenes_4852,763,419,368,373,257,149,177,277
simGenes_4853,48,35,94,34,19,72,128,75
simGenes_4854,801,335,522,771,834,632,528,494
simGenes_4855,446,411,377,331,510,480,376,749
simGenes_4856,9039,9141,8248,9633,3015,2912,3633,4975
simGenes_4857,2473,2351,2367,2404,2427,2215,2357,2202
simGenes_4858,723,1236,665,975,913,856,696,660
simGenes_4859,996,1008,996,949,960,989,940,958
simGenes_4860,2130,2119,2086,2457,2555,2602,2065,2279
simGenes_4861,592,812,527,598,817,542,718,513
simGenes_4862,1065,1081,1205,576,880,1197,1076,1121
simGenes_4863,945,1024,944,1329,1233,1361,1062,1190
simGenes_4864,105,84,90,88,95,124,158,90
simGenes_4865,4247,3946,4276,4965,4215,4346,4783,3959
simGenes_4866,414,500,567,634,794,529,577,443
simGenes_4867,10189,11385,11414,11499,11811,11855,10510,10898
simGenes_4868,2607,2284,2174,2855,2245,2375,2512,2761
simGenes_4869,299,221,276,386,340,168,302,240
simGenes_4870,2677,3487,3957,3398,4065,3218,3100,3340
simGenes_4871,3068,2465,3179,3549,2807,2604,2472,3050
simGenes_4872,19295,19657,19791,20693,18896,20223,19225,20188
simGenes_4873,2284,2448,2413,3892,3038,2054,3245,3488
simGenes_4874,774,766,1105,809,1873,1828,3639,3080
simGenes_4875,5996,7396,5950,6051,4153,6800,6562,6817
simGenes_4876,5150,4602,4531,4600,5412,4834,4489,4649
simGenes_4877,4045,3623,3604,3000,4020,2504,4842,5079
simGenes_4878,1200,1371,859,1060,1036,1315,964,1361
simGenes_4879,1631,1695,1685,1646,2886,2908,2929,2519
simGenes_4880,77,85,133,113,139,130,91,122
simGenes_4881,2093,2119,2394,2186,1922,1928,2154,1803
simGenes_4882,285,585,294,705,405,357,252,442
simGenes_4883,1497,1583,1689,1514,1627,1555,1591,1508
simGenes_4884,706,715,697,672,732,581,687,648
simGenes_4885,2213,2368,2259,2146,2226,2400,2310,2266
simGenes_4886,3600,3010,3166,3340,1959,3732,2427,3166
simGenes_4887,5841,5449,5684,5891,5975,5821,5650,5658
simGenes_4888,1090,963,944,959,941,1056,924,933
simGenes_4889,1724,2054,1861,1944,1914,2071,1604,1745
simGenes_4890,1488,1454,1992,1445,3053,3275,3114,3160
simGenes_4891,5297,5616,5629,5212,5439,5408,4539,5021
simGenes_4892,897,991,955,879,940,869,892,926
simGenes_4893,2343,2260,2370,2101,2341,2399,2241,2246
simGenes_4894,1087,1401,1306,1258,1217,1385,1688,1203
simGenes_4895,1990,1904,1768,1859,1383,1798,2305,1923
simGenes_4896,1099,1338,1116,1012,964,1483,956,716
simGenes_4897,54,147,85,80,63,86,48,137
simGenes_4898,802,674,830,860,736,731,659,906
simGenes_4899,3657,3430,3128,3396,3605,3607,3771,3748
simGenes_4900,2715,3533,2929,1996,2621,2916,2259,2520
simGenes_4901,263,249,266,250,268,251,294,293
simGenes_4902,140,204,194,175,189,144,186,176
simGenes_4903,4619,4536,4061,5273,5100,5647,4412,3219
simGenes_4904,266,349,484,724,377,437,440,335
simGenes_4905,228,357,296,384,457,374,422,292
simGenes_4906,4742,3790,4988,4120,4254,4766,4643,4897
simGenes_4907,271,440,257,318,367,347,236,436
simGenes_4908,68,104,129,78,109,68,100,93
simGenes_4909,164,169,173,144,223,188,135,147
simGenes_4910,146,144,212,181,272,206,207,202
simGenes_4911,710,671,895,530,894,1197,739,680
simGenes_4912,987,973,1431,1537,1463,1294,1185,1399
simGenes_4913,1881,1502,1214,1283,1117,1607,2211,1422
simGenes_4914,1089,1307,1252,1359,1436,1792,1342,1597
simGenes_4915,1346,1166,1334,1271,1153,1246,1410,1357
simGenes_4916,2279,2635,2254,2642,1845,2445,2752,2766
simGenes_4917,12994,11144,12975,12457,10947,11313,9043,10454
simGenes_4918,5211,5128,5178,6134,5726,7019,4856,6512
simGenes_4919,2236,2088,2355,2032,2700,2168,2309,2527
simGenes_4920,390,314,437,376,1417,1483,1693,1363
simGenes_4921,3520,3007,2694,2824,3091,2760,2517,2811
simGenes_4922,2175,2513,2367,3027,2658,1710,2269,2152
simGenes_4923,1380,1549,1617,1356,1191,1581,1317,1633
simGenes_4924,930,424,611,406,777,692,598,833
simGenes_4925,214,170,249,228,179,327,148,216
simGenes_4926,1850,2163,2076,2007,1990,2069,2224,1999
simGenes_4927,225,297,365,304,265,115,222,221
simGenes_4928,5178,4911,4909,4565,3859,4805,5137,4419
simGenes_4929,97,96,52,143,86,78,140,112
simGenes_4930,3385,3807,3682,3588,3515,3312,4333,3368
simGenes_4931,1454,1610,1869,1588,1407,1420,1420,1436
simGenes_4932,2653,2781,3170,2764,2859,3259,2645,2697
simGenes_4933,189,238,230,210,199,190,277,148
simGenes_4934,1839,1767,1768,1481,1877,2213,2120,1908
simGenes_4935,2698,2489,2955,4436,3038,2929,2032,2084
simGenes_4936,1377,1775,1363,1369,1757,1230,1444,1101
simGenes_4937,1375,1537,1457,1535,1436,1580,1513,1517
simGenes_4938,13675,13962,15089,14538,14439,14427,14283,11850
simGenes_4939,2574,2625,1728,1355,1553,1912,2511,3595
simGenes_4940,162892,167025,162057,173748,107125,91834,90451,103943
simGenes_4941,1239,917,1200,1186,949,1111,911,1548
simGenes_4942,393,424,529,717,1970,1898,1758,1657
simGenes_4943,2153,4135,3084,3633,4531,3579,4870,3513
simGenes_4944,181,114,96,98,523,284,200,384
simGenes_4945,442,508,465,517,478,456,425,630
simGenes_4946,3352,3717,3642,2649,3361,3282,3186,3431
simGenes_4947,4193,5490,6316,5283,7161,6179,6079,6891
simGenes_4948,653,626,440,397,331,722,655,562
simGenes_4949,511,613,665,605,659,654,556,644
simGenes_4950,2361,2869,3505,3307,3510,2322,3802,2806
simGenes_4951,958,720,792,1114,737,856,1102,897
simGenes_4952,1106,920,1267,980,910,887,1012,913
simGenes_4953,868,877,1102,760,1254,904,1174,874
simGenes_4954,2044,2395,2377,2514,2175,1713,2241,1892
simGenes_4955,6496,7680,7761,6607,6696,6021,7344,8470
simGenes_4956,737,762,782,784,702,795,712,732
simGenes_4957,2443,2522,1965,1376,1414,1852,1944,2043
simGenes_4958,1919,2759,2018,2354,2098,2396,2267,2407
simGenes_4959,394,414,569,422,374,379,468,531
simGenes_4960,379,178,201,237,202,157,202,119
simGenes_4961,2257,1945,2366,1955,2004,1951,1877,2292
simGenes_4962,6801,5899,6081,7093,2187,4788,2001,3047
simGenes_4963,602,744,585,718,451,455,562,616
simGenes_4964,300,268,301,274,276,273,276,251
simGenes_4965,520,583,575,463,716,619,547,620
simGenes_4966,918,711,961,641,882,1082,822,736
simGenes_4967,2417,3382,2909,1811,3518,1752,1486,2506
simGenes_4968,1888,1899,1727,1782,1981,1856,1814,1795
simGenes_4969,177,214,234,163,239,184,149,191
simGenes_4970,127,111,60,111,169,230,211,143
simGenes_4971,584,705,880,814,1143,697,855,455
simGenes_4972,311,209,398,454,390,489,318,250
simGenes_4973,362,497,302,352,497,424,433,329
simGenes_4974,2096,2165,2278,2042,2248,2312,2354,2126
simGenes_4975,962,1207,1007,1168,1230,1122,844,808
simGenes_4976,1060,881,1130,892,781,1026,1185,896
simGenes_4977,3419,4971,4369,5538,4272,4103,4593,3583
simGenes_4978,141,265,271,499,250,116,162,208
simGenes_4979,613,534,659,473,488,629,547,435
simGenes_4980,1664,1531,1434,1367,1262,1567,2040,1559
simGenes_4981,7008,5626,8261,7758,7847,8754,7997,8477
simGenes_4982,1673,1618,1763,1654,1588,1750,1645,1737
simGenes_4983,1214,956,1329,1241,674,894,1113,1131
simGenes_4984,1761,944,1180,1027,689,1410,1187,1215
simGenes_4985,2169,2033,1876,1891,2197,2076,2068,1890
simGenes_4986,3605,3933,3572,3431,3527,3834,3806,3995
simGenes_4987,2340,2785,2423,2757,2812,3148,2763,2296
simGenes_4988,25802,22319,26711,23233,22701,22052,21990,23868
simGenes_4989,421,616,600,442,539,294,282,378
simGenes_4990,300,174,158,157,128,107,195,179
simGenes_4991,576,689,861,437,611,604,492,665
simGenes_4992,443,386,439,409,469,444,457,421
simGenes_4993,432,5417,2487,1877,18229,1108,2948,642
simGenes_4994,735,706,709,686,835,859,645,847
simGenes_4995,2341,2555,2295,2000,2546,2696,2890,2260
simGenes_4996,553,527,342,529,505,526,494,600
simGenes_4997,519,385,278,385,338,471,347,316
simGenes_4998,431,337,552,453,360,414,434,428
simGenes_4999,987,771,1339,1017,1062,779,1622,1034
simGenes_5000,2031,1656,2254,2284,1857,1502,799,1787
simGenes_5001,379,617,364,515,453,423,405,425
simGenes_5002,70,88,125,91,75,59,88,61
simGenes_5003,514,900,787,786,996,573,607,548
simGenes_5004,4458,4572,4894,4858,4459,4726,4631,3941
simGenes_5005,4817,4123,4324,4296,4584,4621,4664,4749
simGenes_5006,2913,3209,2910,3243,3464,3449,3843,3421
simGenes_5007,197,145,195,187,208,251,212,214
simGenes_5008,148,168,146,188,189,262,184,193
simGenes_5009,95,200,117,187,192,166,131,140
simGenes_5010,2146,1680,2733,2655,2078,2887,2656,2280
simGenes_5011,822,726,785,1078,1123,1052,728,1192
simGenes_5012,1890,2751,2209,2386,6946,6699,7265,6477
simGenes_5013,59,74,50,80,42,61,62,59
simGenes_5014,6466,7090,7178,6721,4882,5580,5041,5435
simGenes_5015,4226,5062,5243,6376,5510,4400,5102,5769
simGenes_5016,2562,2586,2378,2561,2408,2587,2509,2594
simGenes_5017,5558,5647,5517,5572,5669,5605,5645,5557
simGenes_5018,1272,1196,1010,954,1061,1089,1179,1198
simGenes_5019,173,261,284,223,167,138,149,176
simGenes_5020,933,978,989,746,907,731,822,854
simGenes_5021,557,568,563,543,616,510,561,626
simGenes_5022,1125,876,904,1381,692,894,1270,847
simGenes_5023,893,1247,1471,1259,1844,1036,1019,1539
simGenes_5024,2026,1686,1223,1406,1630,2215,1697,2190
simGenes_5025,1488,2015,1803,1846,1457,2051,1631,1386
simGenes_5026,230,198,165,145,123,142,141,130
simGenes_5027,826,769,512,942,835,666,734,668
simGenes_5028,292,903,442,746,679,822,723,828
simGenes_5029,482,836,755,539,431,959,379,481
simGenes_5030,163,107,120,123,143,162,131,152
simGenes_5031,2265,2204,2297,2505,2252,2263,2367,2133
simGenes_5032,303,137,424,395,282,153,173,314
simGenes_5033,2861,2956,2441,2755,3120,2493,3087,2173
simGenes_5034,557,489,402,473,438,488,562,446
simGenes_5035,274,319,321,416,442,348,298,284
simGenes_5036,171,100,138,104,58,145,97,127
simGenes_5037,771,510,723,698,568,655,603,539
simGenes_5038,1226,574,1412,1006,304,396,363,339
simGenes_5039,31014,31940,33216,30355,33407,29440,32829,29050
simGenes_5040,328,249,270,216,122,79,64,85
simGenes_5041,2427,2566,2741,2179,1374,1575,1194,1351
simGenes_5042,1750,1389,3481,1797,2400,1649,2078,2025
simGenes_5043,1932,1205,1549,1913,1634,1475,1469,1526
simGenes_5044,1984,2679,1664,1944,2757,776,1386,1279
simGenes_5045,1584,1395,1606,1550,1324,1311,1126,1133
simGenes_5046,1140,1243,1875,1944,3365,2715,2995,3338
simGenes_5047,3737,3473,9071,3589,4994,5075,4387,2781
simGenes_5048,684,1425,934,566,1171,1309,474,756
simGenes_5049,590,782,628,746,926,542,777,861
simGenes_5050,7689,7422,7360,8038,7652,7670,7621,7638
simGenes_5051,21278,19934,16187,18420,15726,20104,17028,15920
simGenes_5052,519,409,656,619,439,404,422,449
simGenes_5053,1912,2182,1763,2041,1875,1954,1779,1694
simGenes_5054,204,176,245,272,247,218,190,291
simGenes_5055,2973,2892,2804,3238,2355,2059,2747,2554
simGenes_5056,1328,1440,1310,1347,1316,1234,1437,1439
simGenes_5057,1195,895,772,981,742,850,899,1125
simGenes_5058,755,676,674,752,916,702,740,812
simGenes_5059,1622,1944,1745,1740,1931,1642,1778,1809
simGenes_5060,2357,2609,2390,2438,2518,2372,2503,2737
simGenes_5061,2678,2085,1689,2264,2457,2058,2142,2261
simGenes_5062,188,140,227,136,134,98,194,240
simGenes_5063,515,530,501,499,594,617,484,549
simGenes_5064,328,477,335,330,379,358,361,270
simGenes_5065,4852,5142,5465,5007,4895,5104,5076,4986
simGenes_5066,542,292,473,466,458,215,220,492
simGenes_5067,368,485,389,363,268,342,439,428
simGenes_5068,6416,7277,6495,7271,6306,6805,8263,5975
simGenes_5069,464,425,493,375,417,474,466,557
simGenes_5070,140,111,110,181,185,70,126,156
simGenes_5071,303,410,484,413,462,338,402,464
simGenes_5072,919,790,804,908,859,877,800,848
simGenes_5073,451,547,423,507,544,1069,1055,761
simGenes_5074,1487,1590,1725,1190,1659,1682,1669,1413
simGenes_5075,3653,3015,4091,4221,4651,3519,4540,3358
simGenes_5076,369,253,343,243,264,234,325,314
simGenes_5077,999,1316,1455,1202,1499,1058,1832,1134
simGenes_5078,1480,1368,1471,1509,1725,1451,1487,1237
simGenes_5079,3369,2385,2410,2327,3358,2896,2395,2251
simGenes_5080,1528,1406,1568,1287,1632,1532,1406,1597
simGenes_5081,1067,1683,1379,848,1231,1115,1256,1271
simGenes_5082,2817,2626,2650,2753,2734,2701,2678,2711
simGenes_5083,2570,2634,2629,2652,2541,2510,2489,2621
simGenes_5084,296,280,275,309,322,277,266,331
simGenes_5085,1532,1519,1364,1384,1434,1613,1261,1857
simGenes_5086,8700,9561,7221,6533,20298,17503,18326,16940
simGenes_5087,2650,2463,2550,2587,2545,2253,2509,2998
simGenes_5088,5589,5219,5536,6351,6667,6246,6869,6107
simGenes_5089,3399,5244,5769,4866,5086,4462,4579,3823
simGenes_5090,1708,1959,1880,1797,1910,1899,1830,1848
simGenes_5091,291,477,514,525,370,399,492,510
simGenes_5092,3197,4053,4698,5001,5031,4838,4042,3948
