gene,control_1_cyto,control_2_cyto,control_3_cyto,control_4_cyto,treatment_1_cyto,treatment_2_cyto,treatment_3_cyto,treatment_4_cyto
simGenes_4052,650,261,399,765,411,483,663,572
simGenes_4053,201,486,361,440,693,464,498,536
simGenes_4054,560,445,1011,306,480,235,429,131
simGenes_4055,4799,4794,4965,4858,4799,4899,4957,4939
simGenes_4056,8141,7818,8491,8350,8177,7982,8034,7774
simGenes_4057,1257,1170,1618,823,1854,1379,1715,952
simGenes_4058,383,388,401,378,416,456,445,446
simGenes_4059,253,128,132,146,198,188,154,121
simGenes_4060,3731,2577,3593,2671,3816,3265,5022,3370
simGenes_4061,7138,5787,6802,5064,8634,6178,5458,4650
simGenes_4062,5803,5340,4629,6576,6403,5519,4967,5748
simGenes_4063,514,529,587,521,596,466,500,532
simGenes_4064,4401,4755,4547,4460,4417,4357,4443,4702
simGenes_4065,4372,4105,4044,3635,3347,3660,4984,3119
simGenes_4066,1940,1702,1538,1551,2417,4966,4843,4092
simGenes_4067,127,225,196,173,230,221,187,127
simGenes_4068,761,931,1304,742,537,1088,1323,990
simGenes_4069,384,441,396,349,666,394,356,528
simGenes_4070,937,599,632,758,600,814,740,647
simGenes_4071,6249,8789,7097,6920,12935,16831,8679,21712
simGenes_4072,295,197,279,97,353,176,380,170
simGenes_4073,825,973,1396,742,386,443,618,310
simGenes_4074,13903,11310,19112,14807,9686,14665,11418,18693
simGenes_4075,1810,1334,1091,1066,923,1065,1099,909
simGenes_4076,1496,1600,1537,1689,1535,1531,1422,1574
simGenes_4077,2720,2684,2605,2799,2696,2798,2801,2619
simGenes_4078,1810,1991,1441,1832,1127,2102,1764,1414
simGenes_4079,618,589,568,571,557,562,661,642
simGenes_4080,896,916,760,877,1338,1009,864,847
simGenes_4081,193,287,200,215,159,140,219,209
simGenes_4082,989,1041,1097,857,956,884,967,1057
simGenes_4083,1140,1208,1177,1181,1185,1212,1170,1240
simGenes_4084,1263,1120,1267,953,1083,1074,1509,972
simGenes_4085,22757,12105,19198,15573,19392,26673,23482,23243
simGenes_4086,455,247,249,328,245,370,374,418
simGenes_4087,946,1034,551,722,825,910,777,560
simGenes_4088,84,90,167,70,78,94,128,121
simGenes_4089,7099,6917,7304,7246,7041,8150,6416,7197
simGenes_4090,9885,3491,8978,9851,9491,13838,5453,6247
simGenes_4091,784,588,716,885,553,608,705,673
simGenes_4092,2206,2423,2952,2098,2314,2379,2533,2412
simGenes_4093,212,124,171,106,70,135,172,66
simGenes_4094,300,508,327,347,265,351,478,315
simGenes_4095,1283,2293,1302,1533,1675,1113,1233,1410
simGenes_4096,6323,6958,6989,7065,7868,6898,7083,6212
simGenes_4097,3544,2519,2642,2401,2539,2642,3334,3144
simGenes_4098,1004,1213,663,1011,1268,744,639,1035
simGenes_4099,3250,3881,3069,3394,3976,4190,4709,4504
simGenes_4100,3234,2602,2170,2992,2717,1566,2350,2438
simGenes_4101,1193,1078,877,863,1080,1056,867,950
simGenes_4102,3342,3103,3160,3041,3078,3115,3314,3325
simGenes_4103,1626,1658,1707,1521,1531,1499,1595,1672
simGenes_4104,1349,1334,1237,1295,859,1225,1777,1160
simGenes_4105,1136,914,921,1063,647,1314,805,1200
simGenes_4106,1708,1869,2428,1390,2129,1878,1886,2127
simGenes_4107,290,232,334,325,382,281,227,367
simGenes_4108,5301,4994,5118,5011,4906,5311,5551,4459
simGenes_4109,1504,1426,1897,1424,1697,1366,1746,1601
simGenes_4110,1763,1859,1661,1858,1792,1668,1937,1674
simGenes_4111,1564,1480,1484,1678,2269,1018,1112,1805
simGenes_4112,2785,3577,2529,3585,4975,5060,4011,5007
simGenes_4113,4477,3527,4007,4357,3977,3967,7036,3694
simGenes_4114,4752,4080,5607,4332,3501,5195,3789,5036
simGenes_4115,348,566,330,422,419,549,438,433
simGenes_4116,1058,1142,1078,1179,1146,1237,1137,1090
simGenes_4117,1509,838,1022,1716,1670,929,504,1102
simGenes_4118,4788,5121,4266,4955,4729,4943,4679,4429
simGenes_4119,6500,3598,5004,6881,5302,5958,4724,6722
simGenes_4120,4163,4472,4315,4764,4190,3957,4385,3949
simGenes_4121,1117,557,525,390,711,843,961,589
simGenes_4122,9624,10875,9061,11470,8064,9632,9470,9716
simGenes_4123,908,908,887,885,797,800,801,849
simGenes_4124,1791,1624,1870,1975,1826,1647,1903,1549
simGenes_4125,527,420,378,401,303,348,394,421
simGenes_4126,1682,1522,1340,1226,1472,1449,1437,1281
simGenes_4127,5249,13004,9771,10854,9483,14402,9265,11169
simGenes_4128,430,298,318,325,351,513,302,279
simGenes_4129,2691,2266,2317,2262,2368,1833,2243,2763
simGenes_4130,476,414,449,241,352,608,606,346
simGenes_4131,1176,1084,1089,1052,1076,1079,1104,1102
simGenes_4132,292,284,255,266,253,274,267,253
simGenes_4133,763,309,553,561,357,506,647,465
simGenes_4134,846,883,788,1162,1068,1024,793,962
simGenes_4135,1865,2001,2009,1884,3014,2559,2814,3148
simGenes_4136,196,119,239,94,168,208,124,138
simGenes_4137,1454,887,1015,815,1089,1003,857,1285
simGenes_4138,720,1839,897,915,1382,717,1170,1144
simGenes_4139,6826,7526,6730,8871,5704,7274,6742,8488
simGenes_4140,1718,2033,1737,1666,1684,1985,1827,1862
simGenes_4141,4217,5268,5346,3837,4137,4673,3844,5968
simGenes_4142,241,206,282,141,268,250,345,223
simGenes_4143,6403,6327,6131,6044,5878,6948,6127,6219
simGenes_4144,1588,1785,908,752,1310,1484,706,2585
simGenes_4145,869,721,1047,511,976,608,1174,800
simGenes_4146,2385,2236,2354,2071,2212,2476,2406,2126
simGenes_4147,3763,3081,3294,3691,8020,7335,11721,11257
simGenes_4148,168,119,126,150,82,40,119,73
simGenes_4149,1571,1308,1241,1146,1263,1646,859,1442
simGenes_4150,3412,3397,2863,4117,3528,3991,3675,2932
simGenes_4151,5968,6627,6360,6147,6814,6786,6540,6484
simGenes_4152,716,285,431,292,387,269,190,598
simGenes_4153,7214,6030,6898,5505,7058,7434,8110,5806
simGenes_4154,1180,812,778,1162,1244,1190,946,1114
simGenes_4155,1120,1619,1711,1218,437,345,293,299
simGenes_4156,2296,3879,5372,2461,1073,3616,3863,872
simGenes_4157,5720,5814,5696,5728,5705,5889,5865,5753
simGenes_4158,770,835,492,647,693,675,845,797
simGenes_4159,4944,4930,5108,4895,4993,4861,4940,4940
simGenes_4160,1258,837,996,656,909,919,1087,947
simGenes_4161,4772,3574,4514,4106,4085,4186,4122,4095
simGenes_4162,1666,1878,1851,2548,2033,2531,2533,1896
simGenes_4163,1614,3195,2330,2992,2921,2586,1937,2888
simGenes_4164,1043,605,1804,2306,1963,872,1624,2042
simGenes_4165,15877,18467,9633,12590,9331,15920,9177,11306
simGenes_4166,8914,8132,7817,7841,8681,7856,7990,8468
simGenes_4167,353,350,201,216,308,297,277,364
simGenes_4168,706,666,745,625,778,779,726,760
simGenes_4169,1998,2243,2260,2266,1430,2288,1788,2083
simGenes_4170,1208,1359,1147,1625,1101,1046,1535,1596
simGenes_4171,72,128,91,106,122,81,108,116
simGenes_4172,4872,4820,5553,5175,5062,4515,4924,5321
simGenes_4173,12988,19232,17882,15229,12901,11602,15653,11635
simGenes_4174,5556,5264,4865,5485,4638,5793,6072,5166
simGenes_4175,1889,1920,1267,3049,2854,2063,2152,1640
simGenes_4176,1508,3231,2680,2216,644,2200,2239,1842
simGenes_4177,12483,13654,12457,13276,13139,13753,13052,15212
simGenes_4178,6866,8205,7767,6360,7162,6477,7829,6801
simGenes_4179,1346,1336,1522,1259,1088,1795,972,1228
simGenes_4180,4465,4304,4139,3103,5629,5301,5280,3590
simGenes_4181,1753,1751,1529,1829,1255,1874,1745,1567
simGenes_4182,1168,1018,1381,640,1275,944,943,911
simGenes_4183,1873,1737,1869,1619,1869,1726,1724,1722
simGenes_4184,5011,6337,7231,7455,5873,5536,4733,5378
simGenes_4185,950,1209,1021,960,1106,1063,1026,957
simGenes_4186,68,103,72,63,56,74,81,108
simGenes_4187,7442,7634,7736,7472,7196,6458,7723,5889
simGenes_4188,1417,1292,1361,1315,1385,1374,1265,1486
simGenes_4189,977,1041,1013,1034,1042,665,560,1146
simGenes_4190,1524,1555,1171,1061,629,707,789,683
simGenes_4191,4040,4188,4194,3955,4305,4474,3825,4061
simGenes_4192,694,639,934,714,795,703,951,567
simGenes_4193,495,386,373,385,522,441,363,301
simGenes_4194,366,1016,352,1040,495,864,284,370
simGenes_4195,2223,2159,2295,3043,2152,2129,2309,2078
simGenes_4196,268,322,324,331,200,292,305,380
simGenes_4197,1497,1095,1272,1452,1636,1381,1408,1144
simGenes_4198,6715,6778,7360,6465,6696,7210,6563,5949
simGenes_4199,5445,5440,5766,5722,5798,6037,5610,6002
simGenes_4200,210,204,151,199,238,188,174,263
simGenes_4201,2492,2798,1119,1602,851,2053,2302,1009
simGenes_4202,1778,2463,2292,1743,1733,1602,1683,1568
simGenes_4203,1068,1011,989,965,1047,999,982,979
simGenes_4204,266,421,309,265,364,332,354,326
simGenes_4205,3682,3718,3813,3631,3534,4004,3658,3812
simGenes_4206,407,333,476,404,372,378,398,416
simGenes_4207,1797,2841,2194,2144,2842,1846,2546,2984
simGenes_4208,228,132,109,260,148,221,145,252
simGenes_4209,4066,3904,4289,3983,4017,4460,4079,3339
simGenes_4210,8100,8819,7945,8862,9589,6583,8441,7545
simGenes_4211,1801,1384,1545,1211,1865,1764,1467,1392
simGenes_4212,898,838,843,925,762,837,975,878
simGenes_4213,5224,6290,5583,5282,6073,7277,6498,8792
simGenes_4214,437,321,453,328,391,495,399,395
simGenes_4215,166,164,192,190,250,236,128,205
simGenes_4216,4006,3287,3090,2613,3014,3569,3004,3116
simGenes_4217,2941,2991,2909,2814,3011,2910,2913,2693
simGenes_4218,1998,2051,2215,2716,2101,2199,2361,2424
simGenes_4219,70,551,180,513,218,112,434,414
simGenes_4220,169,163,241,168,92,97,88,77
simGenes_4221,886,881,997,1248,968,1029,1214,1317
simGenes_4222,656,860,860,806,656,746,724,971
simGenes_4223,1845,2750,3088,2956,2554,2349,2123,1523
simGenes_4224,2893,2470,3229,2826,4212,4241,2699,5183
simGenes_4225,350,470,545,413,615,458,541,940
simGenes_4226,8239,10659,10505,9461,9793,9575,8855,8901
simGenes_4227,3063,2966,3024,2382,3734,2638,2483,3881
simGenes_4228,405,340,654,855,420,752,1059,659
simGenes_4229,2626,2021,2377,2344,7261,6974,7132,7078
simGenes_4230,4253,4853,5291,4969,5096,4824,4856,4111
simGenes_4231,1748,1897,1635,1692,1813,1771,2004,1538
simGenes_4232,1521,1620,1677,1567,2007,1934,1791,1213
simGenes_4233,2090,2017,1845,2496,2450,2235,2519,2032
simGenes_4234,1004,848,1018,1145,1331,793,802,1027
simGenes_4235,4316,4486,3904,4798,4637,3788,3602,3156
simGenes_4236,5292,6025,5167,3136,6552,4148,6040,6592
simGenes_4237,1070,500,1326,777,698,539,878,571
simGenes_4238,2641,2914,1484,1210,2162,1838,2307,3164
simGenes_4239,911,1065,1011,1063,1060,959,1088,932
simGenes_4240,65,94,130,79,52,71,56,60
simGenes_4241,5315,5305,5330,5525,4919,5148,5213,5328
simGenes_4242,2649,4623,2742,2763,1840,2757,5539,2501
simGenes_4243,2954,2266,2419,2192,2597,3116,2856,4018
simGenes_4244,5810,5215,6029,5917,5558,6024,6143,6340
simGenes_4245,1339,1327,1743,1356,614,584,448,586
simGenes_4246,2155,1842,1224,1670,1752,2278,1435,1381
simGenes_4247,3082,3213,2700,3367,3189,2075,3132,4523
simGenes_4248,855,387,695,455,733,911,326,430
simGenes_4249,1363,941,1444,1170,982,792,1033,1596
simGenes_4250,172,271,170,264,146,144,284,182
simGenes_4251,6669,4544,6293,5840,4899,6267,6214,5359
simGenes_4252,5170,4876,4851,3371,5860,5183,4212,5039
simGenes_4253,3838,3046,5078,4751,1577,1489,1239,1522
simGenes_4254,944,1086,716,824,1612,2523,1918,2113
simGenes_4255,3292,2116,3643,2761,3042,2240,2200,2320
simGenes_4256,619,845,548,552,880,501,661,715
simGenes_4257,6753,6784,5501,6681,6509,6571,7087,5657
simGenes_4258,936,1010,1053,1100,1075,1085,944,1078
simGenes_4259,2297,1805,2047,1956,1712,1584,1813,1328
simGenes_4260,120,93,150,103,191,180,121,133
simGenes_4261,7664,6018,7424,7908,7369,7288,7124,6942
simGenes_4262,10411,10218,9834,9492,10181,10348,10157,12525
simGenes_4263,1144,1566,988,1186,1659,1189,1182,1030
simGenes_4264,1162,1179,1442,1116,1041,1407,1253,1209
simGenes_4265,3968,4644,4602,4416,3789,4187,4704,4061
simGenes_4266,2755,2199,2642,2711,2251,2299,3030,2403
simGenes_4267,629,496,525,637,1413,1221,1462,1335
simGenes_4268,1049,820,1449,1107,1006,897,1312,1107
simGenes_4269,5132,5904,5646,5321,5265,5434,5587,5157
simGenes_4270,9695,8318,10046,9862,9914,10168,8528,9978
simGenes_4271,772,500,730,430,476,354,814,573
simGenes_4272,1547,1352,1807,1502,1718,1716,1867,1500
simGenes_4273,1604,1323,1334,1372,1218,2748,3921,1435
simGenes_4274,682,642,844,749,675,680,668,682
simGenes_4275,207,141,197,176,213,96,206,226
simGenes_4276,1212,1374,1186,1151,931,1659,1077,1435
simGenes_4277,1053,851,445,1193,720,869,472,256
simGenes_4278,3258,3446,3885,4041,3386,3316,3277,3644
simGenes_4279,807,887,881,1033,1290,966,1126,814
simGenes_4280,1658,1454,1565,1556,1381,1528,1453,1625
simGenes_4281,1964,1978,2891,2074,1933,1929,2365,1943
simGenes_4282,6538,6585,7275,6156,6237,6094,6167,6625
simGenes_4283,244,317,300,209,170,255,136,367
simGenes_4284,1735,2186,2098,1987,2269,2092,2557,2009
simGenes_4285,1527,1920,1645,1447,2471,2337,2864,2334
simGenes_4286,1627,2332,2335,2569,2440,2295,2265,2208
simGenes_4287,2867,2729,2788,3145,2836,3394,3367,2835
simGenes_4288,1911,2240,3038,3239,2375,2774,3032,2356
simGenes_4289,843,778,753,773,900,786,769,848
simGenes_4290,663,598,841,718,878,660,795,770
simGenes_4291,316,381,387,263,186,163,119,200
simGenes_4292,3320,3249,3275,3115,3250,3267,3213,3267
simGenes_4293,2323,3319,2895,2783,2861,2247,2753,1766
simGenes_4294,1048,1386,1148,1210,1612,1211,969,1171
simGenes_4295,59,245,42,73,136,142,139,140
simGenes_4296,2242,2303,2324,2209,2262,2348,2235,2322
simGenes_4297,102,71,47,64,175,78,52,110
simGenes_4298,2640,2192,3646,3031,3315,2825,2196,3287
simGenes_4299,19139,13093,18668,19459,20813,12729,21555,14437
simGenes_4300,345,354,331,426,386,342,329,311
simGenes_4301,818,773,784,677,598,612,635,717
simGenes_4302,4616,5206,4802,4999,5195,4401,4690,5048
simGenes_4303,20727,20689,21082,20959,53797,56205,63252,60109
simGenes_4304,479,452,484,556,431,424,576,470
simGenes_4305,1441,798,534,444,852,678,886,961
simGenes_4306,3732,4283,3488,4300,4253,4395,3670,4431
simGenes_4307,12815,12940,11175,14827,10795,11695,12213,13209
simGenes_4308,1108,1368,1112,1433,1434,1344,1345,1422
simGenes_4309,3607,4179,4994,3512,4739,2881,4870,3815
simGenes_4310,1204,1002,1255,1200,1066,1164,1303,1003
simGenes_4311,3546,5515,2866,4465,3599,4016,3460,3334
simGenes_4312,2647,2300,3477,3667,3329,2186,3613,2176
simGenes_4313,378,286,553,163,214,255,296,183
simGenes_4314,608,620,845,615,449,665,870,699
simGenes_4315,281,261,236,281,193,490,408,213
simGenes_4316,1772,2052,1911,2551,1789,2856,2299,1254
simGenes_4317,7968,8225,6775,4939,8038,5534,5552,4681
simGenes_4318,279,331,425,457,404,516,476,467
simGenes_4319,5724,5162,5499,4946,6688,5784,6102,6319
simGenes_4320,101,187,145,208,53,117,128,147
simGenes_4321,2367,2592,2700,2591,2585,2916,2443,2762
simGenes_4322,2937,3205,2771,3070,3125,3197,3037,3333
simGenes_4323,2902,3254,2737,2665,2415,2851,2619,2827
simGenes_4324,532,550,816,1201,1464,486,700,608
simGenes_4325,16164,18441,13442,15725,11361,12957,11758,14080
simGenes_4326,2526,2163,2885,2672,2018,2551,2817,2064
simGenes_4327,11436,7596,6740,9720,11826,13544,7210,13987
simGenes_4328,4565,3919,4431,4235,4347,3759,4624,4453
simGenes_4329,2266,3889,2359,6007,2956,2130,4452,3307
simGenes_4330,276,242,217,249,303,177,313,231
simGenes_4331,3226,2844,2382,3450,3976,3151,2163,3030
simGenes_4332,174,152,207,263,230,306,283,230
simGenes_4333,2516,1709,1911,634,1417,844,1234,1154
simGenes_4334,2890,2229,1951,2689,1895,2113,2435,2792
simGenes_4335,160,164,199,223,221,122,142,184
simGenes_4336,132,140,220,223,205,145,135,119
simGenes_4337,435,321,160,451,535,475,178,668
simGenes_4338,636,951,1471,1008,882,1671,1290,1669
simGenes_4339,2668,2763,2704,2222,2503,2084,1763,4086
simGenes_4340,4707,4366,4437,4534,4382,4345,4394,4753
simGenes_4341,470,494,565,551,613,727,561,313
simGenes_4342,1616,1424,1435,1229,1420,1267,1575,1279
simGenes_4343,5189,3584,4161,4361,3615,3079,2777,4036
simGenes_4344,5521,5376,5988,5289,5901,5695,5773,6139
simGenes_4345,11191,11235,11019,10690,11381,11214,11435,11591
simGenes_4346,3587,4359,4816,4722,4109,5538,4029,4934
simGenes_4347,2256,2172,2113,2725,2429,2283,2220,2482
simGenes_4348,627,316,488,156,468,257,258,441
simGenes_4349,777,1052,795,911,542,527,282,842
simGenes_4350,1307,1368,1134,1108,970,1189,1143,1143
simGenes_4351,6650,5548,8059,4281,6206,6252,5391,7667
simGenes_4352,2073,2438,2299,2667,2858,2173,2209,3283
simGenes_4353,1559,887,1036,1092,473,487,907,517
simGenes_4354,548,615,646,660,1132,895,1299,1232
simGenes_4355,243,329,296,371,249,305,264,347
simGenes_4356,917,782,686,605,1805,1317,2412,1086
simGenes_4357,3712,5207,3974,4525,3513,3688,3677,5555
simGenes_4358,4117,3127,4725,2900,2666,3633,3759,3218
simGenes_4359,2464,1325,2283,1190,1522,1733,1880,2338
simGenes_4360,7922,9784,6247,6437,8015,8563,7098,7315
simGenes_4361,565,1241,602,814,661,667,722,639
simGenes_4362,1602,1134,1503,1555,742,646,610,697
simGenes_4363,1165,1224,1572,1706,1242,1236,1389,1163
simGenes_4364,839,652,776,519,670,909,710,749
simGenes_4365,1369,1885,2062,1687,1632,1700,1339,1589
simGenes_4366,1545,1771,1565,1540,1704,1440,1840,1408
simGenes_4367,11172,13156,11584,11442,12727,12011,13491,11379
simGenes_4368,1041,1184,1268,1411,1139,1269,1282,1252
simGenes_4369,10931,9503,6595,8814,12553,12344,9805,10505
simGenes_4370,5473,5654,5939,6169,5868,5711,6016,5773
simGenes_4371,16325,14451,13109,15885,5791,9377,7847,9546
simGenes_4372,10829,12692,9892,8765,17538,18490,17474,19227
simGenes_4373,1849,1959,1477,1308,1631,1821,2250,1765
simGenes_4374,2640,1578,2753,1825,1508,1173,1814,2066
simGenes_4375,1003,1281,1165,1032,877,1269,928,1150
simGenes_4376,8096,6519,8772,6171,8705,6970,8194,5877
simGenes_4377,2685,861,1725,1466,1862,1401,2689,302
simGenes_4378,730,581,538,630,887,481,758,582
simGenes_4379,2018,2141,2433,1989,2066,2120,2560,2107
simGenes_4380,3995,5122,4728,4663,4085,4265,3810,4271
simGenes_4381,1451,1349,1604,1244,1354,1491,1635,1772
simGenes_4382,1277,1661,1018,1241,1039,845,1636,1450
simGenes_4383,96,150,206,205,120,95,104,193
simGenes_4384,2927,4279,2276,5546,4723,2326,1864,4874
simGenes_4385,437,449,328,242,509,640,782,496
simGenes_4386,724,589,593,855,925,841,943,850
simGenes_4387,3138,1705,3441,2190,1970,2473,2613,2476
simGenes_4388,3023,2971,2830,1272,5344,2319,1843,3520
simGenes_4389,956,1035,923,926,948,903,924,944
simGenes_4390,4723,3772,2882,2978,4566,4013,4191,3902
simGenes_4391,756,1241,1041,1047,1129,864,813,1037
simGenes_4392,222,560,343,239,316,458,311,365
simGenes_4393,2646,2249,1384,1941,1795,2428,1992,1505
simGenes_4394,2026,2139,2121,2014,3536,3363,3362,3323
simGenes_4395,995,868,929,841,1090,1045,980,1001
simGenes_4396,228,555,428,324,781,328,391,645
simGenes_4397,1589,1804,1434,1304,1590,1205,1330,1644
simGenes_4398,897,941,755,773,677,736,929,810
simGenes_4399,18074,22909,17626,19982,13026,14924,24693,17810
simGenes_4400,255,60,169,204,236,194,92,81
simGenes_4401,1927,2397,2026,2107,2157,2072,2360,2215
simGenes_4402,4026,4240,2985,4829,676,1093,1407,1335
simGenes_4403,3269,3480,3036,3659,3643,3575,3520,3373
simGenes_4404,2410,1382,2158,1940,1938,1710,1453,2331
simGenes_4405,2188,2512,2596,3212,1639,3315,2473,1940
simGenes_4406,4994,4952,4598,5248,5647,5655,5376,5570
simGenes_4407,4242,4324,4436,3978,4131,4393,4022,4403
simGenes_4408,5016,5287,5578,5225,6328,5769,5288,4908
simGenes_4409,467,328,342,334,284,326,260,283
simGenes_4410,544,351,184,483,192,509,387,350
simGenes_4411,1594,1531,1861,1594,1626,1644,1881,1688
simGenes_4412,8356,10115,8892,8052,9285,8598,9327,9488
simGenes_4413,5993,5551,5784,6290,5978,5715,6786,7546
simGenes_4414,367,652,363,456,193,310,763,315
simGenes_4415,1631,1570,1606,1612,1588,1489,1557,1424
simGenes_4416,148,139,111,123,59,68,83,83
simGenes_4417,13403,13789,16120,18767,13252,16276,19617,14387
simGenes_4418,1443,964,1486,1505,1702,1660,1380,1784
simGenes_4419,7336,7100,7432,7759,7418,7677,7379,7641
simGenes_4420,34502,28967,26517,36266,29955,31172,31171,35059
simGenes_4421,5994,7247,6065,5932,2659,2255,2293,3004
simGenes_4422,5625,2803,4461,5150,2711,4990,4431,5928
simGenes_4423,658,530,442,536,476,597,475,488
simGenes_4424,87,152,76,143,104,208,129,170
simGenes_4425,578,551,491,582,453,339,520,522
simGenes_4426,531,528,1231,858,684,885,636,982
simGenes_4427,3854,4896,4028,3814,3877,4112,4160,4328
simGenes_4428,6564,6769,6264,5955,6521,5762,6688,6400
simGenes_4429,87,141,184,113,336,432,481,433
simGenes_4430,250,282,226,265,164,69,87,143
simGenes_4431,6397,6268,8302,7652,7474,7438,6368,7363
simGenes_4432,911,1317,463,592,658,1029,513,875
simGenes_4433,490,522,439,462,508,453,449,490
simGenes_4434,837,764,639,736,1540,942,989,1303
simGenes_4435,377,349,291,372,313,384,155,257
simGenes_4436,2451,2513,1707,3067,8332,8674,8400,8478
simGenes_4437,3361,3008,3950,3980,2429,3446,5958,2319
simGenes_4438,8565,8116,6483,7870,2765,3172,3230,3084
simGenes_4439,4526,5882,4930,4404,5396,4689,4974,4424
simGenes_4440,5831,5695,5716,5379,14749,13252,13737,12691
simGenes_4441,282,380,303,462,353,295,318,451
simGenes_4442,10692,12980,10686,8718,15764,10625,12270,10915
simGenes_4443,1869,1386,1752,1699,1769,2324,1829,2979
simGenes_4444,1106,1200,956,1092,1069,1429,1193,1080
simGenes_4445,1462,1884,1174,1783,1948,1390,1209,1700
simGenes_4446,3864,3732,3771,3805,3603,3612,3931,3797
simGenes_4447,2778,3084,2762,2790,2718,2705,2853,2846
simGenes_4448,2810,2995,3438,3011,2854,2968,3051,2937
simGenes_4449,1540,2019,1941,1479,1573,1728,1595,1549
simGenes_4450,2296,2173,1949,2308,2168,2321,2204,2167
simGenes_4451,611,781,724,659,871,279,436,615
simGenes_4452,456,425,348,348,320,289,338,303
simGenes_4453,14607,15905,14344,20845,19392,12883,25292,17410
simGenes_4454,5764,5781,5758,6189,5489,5275,6008,6203
simGenes_4455,475,669,507,412,440,492,467,337
simGenes_4456,436,552,383,456,454,286,310,419
simGenes_4457,15871,15667,16800,16069,15824,14759,16848,17064
simGenes_4458,2541,2739,2677,2757,2682,2538,2584,2774
simGenes_4459,1752,1902,1897,2071,1850,2102,1721,2004
simGenes_4460,947,1077,1262,791,658,1116,1016,869
simGenes_4461,1052,2040,1481,1163,1370,1112,1738,1427
simGenes_4462,1244,1012,1581,956,890,1054,1139,747
simGenes_4463,5348,7054,4465,6807,5130,4255,6113,3197
simGenes_4464,1915,1982,2180,1332,1566,1771,1184,1593
simGenes_4465,1866,1837,1935,1817,1800,1589,1843,1635
simGenes_4466,2104,1067,777,812,1408,1196,1347,1210
simGenes_4467,890,576,1005,923,1094,708,936,1069
simGenes_4468,1219,2154,1240,2357,914,620,492,1308
simGenes_4469,407,345,424,394,461,272,437,311
simGenes_4470,355,495,328,357,264,205,154,447
simGenes_4471,1432,1614,1217,1572,2899,1131,2580,1849
simGenes_4472,2010,2515,2040,1429,1895,1549,2717,1647
simGenes_4473,3121,3864,3324,3621,4194,2550,3399,3521
simGenes_4474,5761,5224,5245,5696,5083,5578,5217,6023
simGenes_4475,2175,1880,2825,2079,2643,2591,2793,2591
simGenes_4476,1127,1342,1278,1411,1025,1128,1420,1169
simGenes_4477,2066,1499,1573,2075,1587,1400,1812,2032
simGenes_4478,439,715,425,620,584,660,717,474
simGenes_4479,428,803,1142,700,1298,1645,945,941
simGenes_4480,3359,3041,3088,3136,3044,3132,3021,3026
simGenes_4481,103,241,183,113,87,93,141,132
simGenes_4482,634,696,574,651,654,571,610,735
simGenes_4483,49,73,52,49,67,52,41,48
simGenes_4484,265,167,187,200,262,274,208,304
simGenes_4485,2914,2580,3169,2966,1879,1791,1989,1959
simGenes_4486,2224,1381,1259,1810,1916,2353,1645,1538
simGenes_4487,927,165,303,388,1189,393,559,808
simGenes_4488,676,870,798,912,901,613,617,579
simGenes_4489,1098,900,1075,859,1251,1011,417,717
simGenes_4490,293,429,428,368,177,274,241,359
simGenes_4491,2767,3564,2760,2370,2333,2437,2682,2475
simGenes_4492,2104,2399,2253,2037,2571,3129,1451,1960
simGenes_4493,1015,813,819,907,1065,2118,550,1016
simGenes_4494,218,293,236,173,135,167,97,342
simGenes_4495,3605,1649,1008,3151,2599,2465,1728,2361
simGenes_4496,2271,2392,2220,2180,2123,2119,2100,2117
simGenes_4497,5601,3488,2404,4394,3257,2450,3196,2534
simGenes_4498,4787,2926,2930,3555,1779,1987,1806,1919
simGenes_4499,128,191,154,302,155,194,99,152
simGenes_4500,437,567,408,361,691,615,665,580
simGenes_4501,2120,2043,2009,2136,2373,1476,1640,2078
simGenes_4502,648,438,340,394,262,608,532,405
simGenes_4503,3439,4714,4146,3839,4588,5076,4204,4941
simGenes_4504,429,284,377,290,414,387,372,208
simGenes_4505,417,338,690,316,277,440,495,612
simGenes_4506,1780,1708,1760,1750,1720,1695,1588,1743
simGenes_4507,27384,25099,36589,83292,38435,55916,32211,58846
simGenes_4508,2772,3653,5474,2689,2728,3812,3422,3683
simGenes_4509,1369,1483,1463,1490,851,1646,1379,1329
simGenes_4510,4916,4783,4064,4410,5735,4727,5214,4078
simGenes_4511,23278,18930,21842,23359,24198,22350,22363,23290
simGenes_4512,1754,2836,1780,866,1696,2111,1770,1103
simGenes_4513,6436,4788,5424,5996,2082,1644,1368,2287
simGenes_4514,678,874,827,779,752,873,607,886
simGenes_4515,554,619,520,776,463,353,589,658
simGenes_4516,249,227,255,199,203,196,194,163
simGenes_4517,4137,4588,4195,4416,4503,4212,4260,4338
simGenes_4518,5419,6630,6300,6568,6697,6047,5148,6150
simGenes_4519,2578,1991,2539,2219,2712,2388,2245,2784
simGenes_4520,3511,3242,3329,2810,3230,2517,3046,2472
simGenes_4521,2248,2538,3461,1064,2125,1860,1625,2644
simGenes_4522,7229,8778,7921,7160,8085,8128,8636,9292
simGenes_4523,2981,2958,2336,3535,3381,3661,2368,3065
simGenes_4524,2884,2854,2971,2911,2845,2839,2903,2885
simGenes_4525,656,822,560,795,520,309,573,557
simGenes_4526,553,544,529,573,548,582,503,507
